,	2221
the	1489
.	1202
and	871
to	702
in	483
;	445
of	401
their	383
|'s|	330
his	327
a	317
with	256
on	203
each	166
for	163
that	155
all	150
they	145
from	134
slavery	128
but	128
'	128
at	121
by	114
is	106
freedom	97
be	91
as	90
who	86
over	84
our	84
or	84
will	77
he	77
no	76
her	76
are	75
man	70
