,	1148
the	702
and	424
.	388
!	326
to	304
of	283
;	200
i	194
in	171
a	158
with	154
that	144
|'s|	140
my	134
