,	410
the	315
and	297
.	223
of	154
to	116
in	94
|'s|	78
"	74
i	70
a	70
that	63
—	61
;	49
from	47
with	42
my	42
on	39
for	35
by	34
shall	33
be	33
their	32
as	32
or	28
is	28
its	27
his	27
but	27
at	27
!	27
it	26
|arabic2digit|	25
where	25
have	25
all	25
when	24
there	24
'	23
still	22
not	22
her	21
may	20
love	20
long	20
which	19
me	19
so	17
away	17
are	17
this	16
our	16
now	16
no	16
was	15
then	15
man	15
he	15
they	14
day	14
time	13
thy	13
one	13
like	13
has	13
down	13
:	13
yet	12
will	12
who	12
what	12
oil	12
far	12
would	11
world	11
us	11
through	11
thou	11
those	11
over	11
here	11
earth	11
whose	10
we	10
till	10
sweet	10
soul	10
kate	10
how	10
bright	10
were	9
well	9
said	9
life	9
hill	9
again	9
you	8
while	8
them	8
sun	8
spring	8
side	8
out	8
men	8
many	8
loved	8
if	8
i'll	8
him	8
heaven	8
heart	8
found	8
each	8
did	8
days	8
blue	8
around	8
whom	7
wealth	7
upon	7
thee	7
than	7
stream	7
see	7
roam	7
rest	7
peace	7
old	7
never	7
lovely	7
look	7
last	7
hope	7
ever	7
come	7
bore	7
above	7
years	6
wife	6
weather	6
way	6
water	6
up	6
though	6
steps	6
some	6
should	6
scenes	6
say	6
rich	6
return	6
quiet	6
more	6
god	6
dreams	6
dost	6
death	6
born	6
beauty	6
.,	6
your	5
woods	5
wander	5
view	5
these	5
smiles	5
silent	5
pure	5
own	5
nor	5
new	5
nature	5
much	5
might	5
mansions	5
living	5
left	5
ky	5
home	5
hills	5
had	5
grease	5
gone	5
friend	5
forever	5
flowers	5
faith	5
fair	5
dwell	5
dear	5
could	5
city	5
cave	5
canewood	5
bought	5
birds	5
better	5
beside	5
back	5
along	5
alone	5
abode	5
worth	4
within	4
very	4
tranquil	4
trade	4
too	4
thought	4
ten	4
sublime	4
stars	4
spot	4
spirits	4
spirit	4
skies	4
serene	4
seen	4
saw	4
run	4
repose	4
peter	4
other	4
once	4
often	4
near	4
name	4
milk	4
make	4
maid	4
made	4
leave	4
land	4
know	4
joys	4
isle	4
house	4
high	4
hearts	4
hath	4
hand	4
grace	4
golden	4
go	4
gentle	4
gay	4
fortune	4
forth	4
find	4
face	4
eyes	4
eternal	4
dead	4
crocus	4
creek	4
county	4
cold	4
clear	4
cedar	4
care	4
can	4
bowers	4
blessed	4
before	4
been	4
beautiful	4
any	4
among	4
ages	4
|arabic5+digit|	3
|arabic1digit|	3
worn	3
work	3
winds	3
wild	3
white	3
whether	3
weave	3
waves	3
waters	3
wandering	3
wall	3
voice	3
turn	3
track	3
town	3
took	3
thousand	3
thither	3
think	3
things	3
tears	3
take	3
summer	3
strike	3
sphere	3
sought	3
sorrow	3
song	3
smile	3
sleep	3
sky	3
sing	3
shine	3
shade	3
scene	3
sam	3
rise	3
right	3
regions	3
ran	3
plenty	3
placid	3
picture	3
petroleum	3
passed	3
only	3
none	3
night	3
neath	3
muse	3
murmuring	3
mourn	3
most	3
morn	3
met	3
memory	3
meet	3
m	3
louisville	3
locks	3
let	3
leaves	3
knew	3
kentucky	3
june	3
joy	3
jones	3
iu	3
into	3
i'm	3
human	3
however	3
hours	3
hour	3
hopes	3
heavens	3
he's	3
happy	3
happier	3
hands	3
grief	3
green	3
great	3
grave	3
good	3
glorious	3
gloom	3
give	3
genial	3
gaze	3
gave	3
full	3
friends	3
forget	3
fame	3
eyed	3
eye	3
eve	3
endless	3
doth	3
dollars	3
deck	3
darkness	3
dark	3
d	3
cot	3
chain	3
ceaseless	3
cease	3
build	3
brow	3
blooming	3
bloom	3
beyond	3
behold	3
behind	3
author	3
art	3
ancient	3
an	3
alice	3
about	3
**	3
|arabic4digit|	2
young	2
you'll	2
year	2
written	2
wreath	2
works	2
wool	2
woo	2
wonderful	2
without	2
wit	2
wing	2
winding	2
we'll	2
wc	2
watch	2
warm	2
walks	2
walked	2
wake	2
voiceless	2
varied	2
valleys	2
vales	2
vain	2
unto	2
unknown	2
two	2
twixt	2
twas	2
trust	2
true	2
trod	2
trees	2
torn	2
thus	2
thronged	2
thoughts	2
thine	2
tell	2
swelling	2
supplies	2
sunny	2
suit	2
such	2
struck	2
strive	2
strife	2
strew	2
strength	2
streets	2
street	2
streams	2
streamlet	2
stray	2
straight	2
stone	2
start	2
stare	2
star	2
stand	2
splendour	2
spell	2
sorrows	2
songs	2
solemn	2
slumber	2
sloping	2
slope	2
six	2
since	2
silver	2
silence	2
sigh	2
sich	2
she	2
set	2
seek	2
save	2
sacred	2
runyan	2
round	2
rose	2
roof	2
river	2
religion	2
redeemed	2
reared	2
ray	2
r	2
quite	2
prophet	2
pride	2
present	2
praises	2
power	2
pour	2
plain	2
places	2
placed	2
person	2
pensive	2
patient	2
past	2
passion	2
part	2
pall	2
pain	2
onward	2
ones	2
oily	2
oh	2
oft	2
nought	2
nothing	2
notes	2
nights	2
native	2
mrs	2
mountain	2
mother	2
months	2
money	2
mind	2
mill	2
meant	2
mate	2
mary	2
mammoth	2
machinery	2
lowly	2
low	2
loveliness	2
lost	2
lord	2
lonely	2
lone	2
live	2
lines	2
length	2
learn	2
lately	2
laid	2
lady	2
labour	2
knowing	2
keen	2
july	2
joke	2
it's	2
innocence	2
increase	2
ice	2
i've	2
i'd	2
hurrah	2
himself	2
higher	2
herds	2
heard	2
hear	2
happened	2
half	2
hair	2
h	2
grove	2
grand	2
glittering	2
gliding	2
glen	2
gleam	2
gems	2
freshness	2
fresh	2
founts	2
fountains	2
form	2
forest	2
footsteps	2
fondest	2
following	2
follow	2
folks	2
flows	2
flowing	2
flora	2
flocks	2
fleet	2
first	2
fires	2
few	2
feet	2
father	2
fate	2
fancy	2
evil	2
every	2
evening	2
esq	2
enchanting	2
ease	2
earthly	2
dust	2
drop	2
drawn	2
drank	2
dr	2
doubly	2
done	2
dome	2
do	2
dinners	2
despair	2
desolate	2
depths	2
delightful	2
decks	2
darkly	2
cream	2
crcessus	2
course	2
country	2
cooling	2
column	2
coat	2
cloudless	2
cloud	2
clothing	2
clime	2
church	2
chosen	2
chilling	2
charms	2
charm	2
chaplin	2
cemetery	2
caves	2
cannot	2
came	2
called	2
call	2
buy	2
busy	2
burst	2
burn	2
bubbling	2
bs	2
bring	2
brighter	2
break	2
bosoms	2
bosom	2
bored	2
bliss	2
bless	2
blame	2
big	2
bewitching	2
beneath	2
being	2
beams	2
beam	2
bat	2
bards	2
awhile	2
avenues	2
autumn	2
attend	2
associate	2
arise	2
appear	2
anon	2
alas	2
ahead	2
ah	2
ago	2
after	2
afar	2
across	2
accomplished	2
abroad	2
?	2
."	2
*'	2
