,	651
.	385
the	347
and	291
of	150
in	147
to	118
it	112
a	109
your	104
but	102
you	93
will	92
;	84
he	72
earth	72
they	67
be	66
all	64
we	61
that	57
on	57
is	56
for	52
have	50
as	43
with	42
was	41
not	41
god	41
now	40
there	39
which	35
are	35
this	34
then	34
their	32
so	32
its	32
from	32
think	30
some	30
no	30
do	30
|'s|	29
if	29
i	29
when	28
'	28
where	27
must	27
his	27
man	26
has	23
did	23
through	22
mighty	22
made	21
j	21
by	20
you'll	19
time	19
or	19
know	19
waters	18
once	18
it's	18
him	18
land	17
would	16
who	16
see	16
round	16
had	16
up	15
those	15
spirit	15
sea	15
our	15
more	15
may	15
like	15
lake	15
could	15
what	14
never	14
many	14
earthly	14
can	14
were	13
too	13
at	13
:	13
sure	12
quite	12
life	12
high	12
bible	12
!	12
make	11
likewise	11
heaven	11
formed	11
fires	11
come	11
away	11
|arabic1digit|	10
yes	10
understand	10
them	10
old	10
oh	10
ocean	10
keep	10
good	10
\	10
us	9
such	9
out	9
nature	9
here	9
called	9
ball	9
air	9
world	8
we'll	8
trees	8
tell	8
since	8
over	8
one	8
near	8
little	8
learn	8
great	8
forth	8
fair	8
changes	8
angels	8
adam	8
wave	7
turn	7
things	7
they'll	7
should	7
read	7
progress	7
power	7
plain	7
love	7
just	7
go	7
flowers	7
days	7
day	7
been	7
an	7
^	7
?	7
•	6
while	6
well	6
very	6
truly	6
though	6
streams	6
seen	6
say	6
rolling	6
perhaps	6
nations	6
much	6
mother	6
long	6
hath	6
gold	6
does	6
deep	6
above	6
■	5
years	5
wild	5
wide	5
tide	5
throughout	5
throne	5
thousands	5
thought	5
than	5
take	5
sun	5
still	5
space	5
soul	5
show	5
ships	5
pass	5
other	5
orb	5
nor	5
new	5
matter	5
mankind	5
how	5
history	5
higher	5
he's	5
garden	5
flood	5
fish	5
fire	5
everywhere	5
electric	5
clay	5
brimstone	5
breath	5
bowels	5
body	5
birth	5
below	5
bed	5
aud	5
ark	5
another	5
