,	2443
the	1599
.	1192
and	957
of	779
—	595
to	548
in	466
!	424
;	421
a	386
that	346
|'s|	339
|romannumeral|	305
with	284
his	256
:	242
her	217
for	217
by	166
their	157
